freshness_score,weight,price,fruit_name_Banana,fruit_name_Grapes,fruit_name_Mango,fruit_name_Orange,season_Spring,season_Summer,season_Winter,origin_Local
9.0,0.078,3.93,False,True,False,False,False,False,False,True
6.0,0.233,1.9,False,False,False,True,False,True,False,True
3.0,0.2175,3.49,False,False,True,False,False,False,False,True
7.0,0.341,1.86,False,False,False,True,False,True,False,True
9.0,0.382,1.56,False,False,False,True,True,False,False,False
3.0,0.131,1.29,True,False,False,False,False,False,True,True
2.0,0.529,3.51,False,False,True,False,True,False,False,True
7.0,0.508,3.0,False,False,True,False,False,False,True,True
7.0,0.272,4.68,False,False,True,False,False,False,True,True
4.0,0.247,2.56,False,False,False,True,False,False,False,False
9.0,0.078,5.38,False,True,False,False,True,False,False,False
8.0,0.357,4.1,False,False,True,False,False,False,True,False
1.0,0.396,1.16,False,False,False,True,True,False,False,False
1.0,0.196,1.13,True,False,False,False,False,False,False,False
5.0,0.122,2.51,False,True,False,False,False,True,False,False
6.0,0.246,1.65,True,False,False,False,False,True,False,False
3.0,0.2175,2.54,False,True,False,False,False,False,True,False
9.0,0.35,1.7,False,False,False,True,True,False,False,False
6.0,0.22,2.67,False,False,False,False,False,True,False,False
6.0,0.137,3.35,False,True,False,False,True,False,False,False
4.0,0.127,1.45,True,False,False,False,True,False,False,False
7.0,0.387,1.96,False,False,False,True,False,False,True,True
8.0,0.072,2.91,False,True,False,False,False,True,False,False
6.0,0.2175,2.34,False,False,False,False,False,False,False,False
6.0,0.294,2.56,False,False,False,False,False,False,True,False
6.0,0.2175,2.95,False,False,True,False,False,True,False,True
8.0,0.463,4.83,False,False,True,False,False,True,False,False
5.0,0.167,2.38,True,False,False,False,False,False,False,True
3.0,0.124,3.92,False,True,False,False,False,False,False,False
3.0,0.073,4.49,False,True,False,False,True,False,False,False
6.0,0.27,4.92,False,False,True,False,False,True,False,True
2.0,0.08,4.37,False,True,False,False,False,False,False,False
6.0,0.097,2.69,False,True,False,False,True,False,False,True
6.0,0.159,1.75,False,False,False,False,True,False,False,True
8.0,0.374,3.55,False,False,True,False,True,False,False,True
7.0,0.25,2.73,False,False,False,True,False,False,False,False
8.0,0.27,5.91,False,False,True,False,False,True,False,False
9.0,0.296,2.82,False,False,False,True,False,False,True,False
6.0,0.323,1.71,False,False,False,False,True,False,False,True
3.0,0.123,1.38,True,False,False,False,False,False,False,True
10.0,0.11,3.87,False,True,False,False,False,False,False,False
3.0,0.273,1.57,False,False,False,False,False,False,True,False
1.0,0.092,3.01,False,True,False,False,False,False,False,False
5.0,0.205,0.92,True,False,False,False,False,False,False,False
4.0,0.162,1.26,True,False,False,False,False,True,False,False
9.0,0.236,2.25,False,False,False,False,False,False,True,True
9.0,0.101,1.27,True,False,False,False,False,False,False,True
5.0,0.2175,1.92,False,False,False,True,False,False,True,True
10.0,0.199,1.78,True,False,False,False,False,True,False,False
4.0,0.054,3.55,False,True,False,False,True,False,False,True
7.0,0.087,3.27,False,True,False,False,False,False,True,True
6.0,0.148,4.17,False,True,False,False,False,True,False,True
4.0,0.092,4.14,False,True,False,False,False,False,False,True
10.0,0.275,2.38,False,False,False,True,False,False,True,True
2.0,0.568,3.83,False,False,True,False,False,False,True,False
1.0,0.285,1.7,False,False,False,False,False,False,False,True
4.0,0.108,2.26,False,True,False,False,True,False,False,False
4.0,0.22,1.35,True,False,False,False,False,False,False,False
1.0,0.136,4.02,False,True,False,False,False,False,True,True
6.0,0.169,1.04,True,False,False,False,False,False,False,False
4.0,0.171,1.46,True,False,False,False,False,True,False,False
1.0,0.2175,3.64,False,True,False,False,False,False,False,True
1.0,0.392,2.09,False,False,False,True,False,False,True,True
1.0,0.205,2.38,True,False,False,False,False,False,False,False
